2025-02-25 07:33:44,243 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2025-02-25 07:33:44,244 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-15.3.1-arm64-arm-64bit
2025-02-25 07:33:44,244 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:ec:f2:c2:23:04
2025-02-25 07:33:47,295 | MainThread   | [INFO    ] | _connect            |: Connected to c0:ec:f2:c2:23:04
2025-02-25 07:34:00,865 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E8E0F7A4-7773-8749-3CAD-EADBED93F90E
2025-02-25 07:34:10,886 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:ec:f2:c2:23:04
2025-02-25 07:34:13,813 | MainThread   | [INFO    ] | _connect            |: Connected to c0:ec:f2:c2:23:04
2025-02-25 07:36:08,972 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E8E0F7A4-7773-8749-3CAD-EADBED93F90E
2025-02-26 14:04:22,671 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:ec:f2:c2:23:04
2025-02-26 14:04:25,666 | MainThread   | [INFO    ] | _connect            |: Connected to c0:ec:f2:c2:23:04
2025-02-26 14:05:34,055 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E8E0F7A4-7773-8749-3CAD-EADBED93F90E
2025-02-26 14:07:20,856 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:ec:f2:c2:23:04
2025-02-26 14:07:23,750 | MainThread   | [INFO    ] | _connect            |: Connected to c0:ec:f2:c2:23:04
2025-02-26 14:10:02,313 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E8E0F7A4-7773-8749-3CAD-EADBED93F90E
2025-02-26 19:55:57,260 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:ec:f2:c2:23:04
2025-02-26 19:56:00,159 | MainThread   | [INFO    ] | _connect            |: Connected to c0:ec:f2:c2:23:04
2025-02-26 19:56:09,938 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E8E0F7A4-7773-8749-3CAD-EADBED93F90E
2025-02-26 19:56:23,918 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:ec:f2:c2:23:04
2025-02-26 19:56:26,800 | MainThread   | [INFO    ] | _connect            |: Connected to c0:ec:f2:c2:23:04
2025-02-26 20:09:00,959 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E8E0F7A4-7773-8749-3CAD-EADBED93F90E
2025-02-26 20:10:56,244 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:ec:f2:c2:23:04
2025-02-26 20:10:59,143 | MainThread   | [INFO    ] | _connect            |: Connected to c0:ec:f2:c2:23:04
2025-02-26 20:17:51,864 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E8E0F7A4-7773-8749-3CAD-EADBED93F90E
2025-02-26 20:20:16,714 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:ec:f2:c2:23:04
